codepoint,char,category
U+0030,0,ASCII Digit
U+0031,1,ASCII Digit
U+0032,2,ASCII Digit
U+0033,3,ASCII Digit
U+0034,4,ASCII Digit
U+0035,5,ASCII Digit
U+0036,6,ASCII Digit
U+0037,7,ASCII Digit
U+0038,8,ASCII Digit
U+0039,9,ASCII Digit
U+00B2,²,Other
U+00B3,³,Other
U+00B9,¹,Other
U+00BC,¼,Other
U+00BD,½,Other
U+00BE,¾,Other
U+0660,٠,Arabic-Indic Digit
U+0661,١,Arabic-Indic Digit
U+0662,٢,Arabic-Indic Digit
U+0663,٣,Arabic-Indic Digit
U+0664,٤,Arabic-Indic Digit
U+0665,٥,Arabic-Indic Digit
U+0666,٦,Arabic-Indic Digit
U+0667,٧,Arabic-Indic Digit
U+0668,٨,Arabic-Indic Digit
U+0669,٩,Arabic-Indic Digit
U+06F0,۰,Extended Arabic-Indic Digit
U+06F1,۱,Extended Arabic-Indic Digit
U+06F2,۲,Extended Arabic-Indic Digit
U+06F3,۳,Extended Arabic-Indic Digit
U+06F4,۴,Extended Arabic-Indic Digit
U+06F5,۵,Extended Arabic-Indic Digit
U+06F6,۶,Extended Arabic-Indic Digit
U+06F7,۷,Extended Arabic-Indic Digit
U+06F8,۸,Extended Arabic-Indic Digit
U+06F9,۹,Extended Arabic-Indic Digit
U+07C0,߀,Other
U+07C1,߁,Other
U+07C2,߂,Other
U+07C3,߃,Other
U+07C4,߄,Other
U+07C5,߅,Other
U+07C6,߆,Other
U+07C7,߇,Other
U+07C8,߈,Other
U+07C9,߉,Other
U+0966,०,Devanagari Digit
U+0967,१,Devanagari Digit
U+0968,२,Devanagari Digit
U+0969,३,Devanagari Digit
U+096A,४,Devanagari Digit
U+096B,५,Devanagari Digit
U+096C,६,Devanagari Digit
U+096D,७,Devanagari Digit
U+096E,८,Devanagari Digit
U+096F,९,Devanagari Digit
U+09E6,০,Bengali Digit
U+09E7,১,Bengali Digit
U+09E8,২,Bengali Digit
U+09E9,৩,Bengali Digit
U+09EA,৪,Bengali Digit
U+09EB,৫,Bengali Digit
U+09EC,৬,Bengali Digit
U+09ED,৭,Bengali Digit
U+09EE,৮,Bengali Digit
U+09EF,৯,Bengali Digit
U+09F4,৴,Other
U+09F5,৵,Other
U+09F6,৶,Other
U+09F7,৷,Other
U+09F8,৸,Other
U+09F9,৹,Other
U+0A66,੦,Gurmukhi Digit
U+0A67,੧,Gurmukhi Digit
U+0A68,੨,Gurmukhi Digit
U+0A69,੩,Gurmukhi Digit
U+0A6A,੪,Gurmukhi Digit
U+0A6B,੫,Gurmukhi Digit
U+0A6C,੬,Gurmukhi Digit
U+0A6D,੭,Gurmukhi Digit
U+0A6E,੮,Gurmukhi Digit
U+0A6F,੯,Gurmukhi Digit
U+0AE6,૦,Gujarati Digit
U+0AE7,૧,Gujarati Digit
U+0AE8,૨,Gujarati Digit
U+0AE9,૩,Gujarati Digit
U+0AEA,૪,Gujarati Digit
U+0AEB,૫,Gujarati Digit
U+0AEC,૬,Gujarati Digit
U+0AED,૭,Gujarati Digit
U+0AEE,૮,Gujarati Digit
U+0AEF,૯,Gujarati Digit
U+0B66,୦,Oriya Digit
U+0B67,୧,Oriya Digit
U+0B68,୨,Oriya Digit
U+0B69,୩,Oriya Digit
U+0B6A,୪,Oriya Digit
U+0B6B,୫,Oriya Digit
U+0B6C,୬,Oriya Digit
U+0B6D,୭,Oriya Digit
U+0B6E,୮,Oriya Digit
U+0B6F,୯,Oriya Digit
U+0B72,୲,Other
U+0B73,୳,Other
U+0B74,୴,Other
U+0B75,୵,Other
U+0B76,୶,Other
U+0B77,୷,Other
U+0BE6,௦,Tamil Digit
U+0BE7,௧,Tamil Digit
U+0BE8,௨,Tamil Digit
U+0BE9,௩,Tamil Digit
U+0BEA,௪,Tamil Digit
U+0BEB,௫,Tamil Digit
U+0BEC,௬,Tamil Digit
U+0BED,௭,Tamil Digit
U+0BEE,௮,Tamil Digit
U+0BEF,௯,Tamil Digit
U+0BF0,௰,Other
U+0BF1,௱,Other
U+0BF2,௲,Other
U+0C66,౦,Telugu Digit
U+0C67,౧,Telugu Digit
U+0C68,౨,Telugu Digit
U+0C69,౩,Telugu Digit
U+0C6A,౪,Telugu Digit
U+0C6B,౫,Telugu Digit
U+0C6C,౬,Telugu Digit
U+0C6D,౭,Telugu Digit
U+0C6E,౮,Telugu Digit
U+0C6F,౯,Telugu Digit
U+0C78,౸,Other
U+0C79,౹,Other
U+0C7A,౺,Other
U+0C7B,౻,Other
U+0C7C,౼,Other
U+0C7D,౽,Other
U+0C7E,౾,Other
U+0CE6,೦,Kannada Digit
U+0CE7,೧,Kannada Digit
U+0CE8,೨,Kannada Digit
U+0CE9,೩,Kannada Digit
U+0CEA,೪,Kannada Digit
U+0CEB,೫,Kannada Digit
U+0CEC,೬,Kannada Digit
U+0CED,೭,Kannada Digit
U+0CEE,೮,Kannada Digit
U+0CEF,೯,Kannada Digit
U+0D58,൘,Other
U+0D59,൙,Other
U+0D5A,൚,Other
U+0D5B,൛,Other
U+0D5C,൜,Other
U+0D5D,൝,Other
U+0D5E,൞,Other
U+0D66,൦,Malayalam Digit
U+0D67,൧,Malayalam Digit
U+0D68,൨,Malayalam Digit
U+0D69,൩,Malayalam Digit
U+0D6A,൪,Malayalam Digit
U+0D6B,൫,Malayalam Digit
U+0D6C,൬,Malayalam Digit
U+0D6D,൭,Malayalam Digit
U+0D6E,൮,Malayalam Digit
U+0D6F,൯,Malayalam Digit
U+0D70,൰,Other
U+0D71,൱,Other
U+0D72,൲,Other
U+0D73,൳,Other
U+0D74,൴,Other
U+0D75,൵,Other
U+0D76,൶,Other
U+0D77,൷,Other
U+0D78,൸,Other
U+0DE6,෦,Other
U+0DE7,෧,Other
U+0DE8,෨,Other
U+0DE9,෩,Other
U+0DEA,෪,Other
U+0DEB,෫,Other
U+0DEC,෬,Other
U+0DED,෭,Other
U+0DEE,෮,Other
U+0DEF,෯,Other
U+0E50,๐,Thai Digit
U+0E51,๑,Thai Digit
U+0E52,๒,Thai Digit
U+0E53,๓,Thai Digit
U+0E54,๔,Thai Digit
U+0E55,๕,Thai Digit
U+0E56,๖,Thai Digit
U+0E57,๗,Thai Digit
U+0E58,๘,Thai Digit
U+0E59,๙,Thai Digit
U+0ED0,໐,Lao Digit
U+0ED1,໑,Lao Digit
U+0ED2,໒,Lao Digit
U+0ED3,໓,Lao Digit
U+0ED4,໔,Lao Digit
U+0ED5,໕,Lao Digit
U+0ED6,໖,Lao Digit
U+0ED7,໗,Lao Digit
U+0ED8,໘,Lao Digit
U+0ED9,໙,Lao Digit
U+0F20,༠,Tibetan Digit
U+0F21,༡,Tibetan Digit
U+0F22,༢,Tibetan Digit
U+0F23,༣,Tibetan Digit
U+0F24,༤,Tibetan Digit
U+0F25,༥,Tibetan Digit
U+0F26,༦,Tibetan Digit
U+0F27,༧,Tibetan Digit
U+0F28,༨,Tibetan Digit
U+0F29,༩,Tibetan Digit
U+0F2A,༪,Other
U+0F2B,༫,Other
U+0F2C,༬,Other
U+0F2D,༭,Other
U+0F2E,༮,Other
U+0F2F,༯,Other
U+0F30,༰,Other
U+0F31,༱,Other
U+0F32,༲,Other
U+0F33,༳,Other
U+1040,၀,Myanmar Digit
U+1041,၁,Myanmar Digit
U+1042,၂,Myanmar Digit
U+1043,၃,Myanmar Digit
U+1044,၄,Myanmar Digit
U+1045,၅,Myanmar Digit
U+1046,၆,Myanmar Digit
U+1047,၇,Myanmar Digit
U+1048,၈,Myanmar Digit
U+1049,၉,Myanmar Digit
U+1090,႐,Other
U+1091,႑,Other
U+1092,႒,Other
U+1093,႓,Other
U+1094,႔,Other
U+1095,႕,Other
U+1096,႖,Other
U+1097,႗,Other
U+1098,႘,Other
U+1099,႙,Other
U+1369,፩,Other
U+136A,፪,Other
U+136B,፫,Other
U+136C,፬,Other
U+136D,፭,Other
U+136E,፮,Other
U+136F,፯,Other
U+1370,፰,Other
U+1371,፱,Other
U+1372,፲,Other
U+1373,፳,Other
U+1374,፴,Other
U+1375,፵,Other
U+1376,፶,Other
U+1377,፷,Other
U+1378,፸,Other
U+1379,፹,Other
U+137A,፺,Other
U+137B,፻,Other
U+137C,፼,Other
U+16EE,ᛮ,Other
U+16EF,ᛯ,Other
U+16F0,ᛰ,Other
U+17E0,០,Khmer Digit
U+17E1,១,Khmer Digit
U+17E2,២,Khmer Digit
U+17E3,៣,Khmer Digit
U+17E4,៤,Khmer Digit
U+17E5,៥,Khmer Digit
U+17E6,៦,Khmer Digit
U+17E7,៧,Khmer Digit
U+17E8,៨,Khmer Digit
U+17E9,៩,Khmer Digit
U+17F0,៰,Other
U+17F1,៱,Other
U+17F2,៲,Other
U+17F3,៳,Other
U+17F4,៴,Other
U+17F5,៵,Other
U+17F6,៶,Other
U+17F7,៷,Other
U+17F8,៸,Other
U+17F9,៹,Other
U+1810,᠐,Mongolian Digit
U+1811,᠑,Mongolian Digit
U+1812,᠒,Mongolian Digit
U+1813,᠓,Mongolian Digit
U+1814,᠔,Mongolian Digit
U+1815,᠕,Mongolian Digit
U+1816,᠖,Mongolian Digit
U+1817,᠗,Mongolian Digit
U+1818,᠘,Mongolian Digit
U+1819,᠙,Mongolian Digit
U+1946,᥆,Limbu Digit
U+1947,᥇,Limbu Digit
U+1948,᥈,Limbu Digit
U+1949,᥉,Limbu Digit
U+194A,᥊,Limbu Digit
U+194B,᥋,Limbu Digit
U+194C,᥌,Limbu Digit
U+194D,᥍,Limbu Digit
U+194E,᥎,Limbu Digit
U+194F,᥏,Limbu Digit
U+19D0,᧐,New Tai Lue Digit
U+19D1,᧑,New Tai Lue Digit
U+19D2,᧒,New Tai Lue Digit
U+19D3,᧓,New Tai Lue Digit
U+19D4,᧔,New Tai Lue Digit
U+19D5,᧕,New Tai Lue Digit
U+19D6,᧖,New Tai Lue Digit
U+19D7,᧗,New Tai Lue Digit
U+19D8,᧘,New Tai Lue Digit
U+19D9,᧙,New Tai Lue Digit
U+19DA,᧚,Other
U+1A80,᪀,Tai Tham Hora Digit
U+1A81,᪁,Tai Tham Hora Digit
U+1A82,᪂,Tai Tham Hora Digit
U+1A83,᪃,Tai Tham Hora Digit
U+1A84,᪄,Tai Tham Hora Digit
U+1A85,᪅,Tai Tham Hora Digit
U+1A86,᪆,Tai Tham Hora Digit
U+1A87,᪇,Tai Tham Hora Digit
U+1A88,᪈,Tai Tham Hora Digit
U+1A89,᪉,Tai Tham Hora Digit
U+1A90,᪐,Tai Tham Tham Digit
U+1A91,᪑,Tai Tham Tham Digit
U+1A92,᪒,Tai Tham Tham Digit
U+1A93,᪓,Tai Tham Tham Digit
U+1A94,᪔,Tai Tham Tham Digit
U+1A95,᪕,Tai Tham Tham Digit
U+1A96,᪖,Tai Tham Tham Digit
U+1A97,᪗,Tai Tham Tham Digit
U+1A98,᪘,Tai Tham Tham Digit
U+1A99,᪙,Tai Tham Tham Digit
U+1B50,᭐,Balinese Digit
U+1B51,᭑,Balinese Digit
U+1B52,᭒,Balinese Digit
U+1B53,᭓,Balinese Digit
U+1B54,᭔,Balinese Digit
U+1B55,᭕,Balinese Digit
U+1B56,᭖,Balinese Digit
U+1B57,᭗,Balinese Digit
U+1B58,᭘,Balinese Digit
U+1B59,᭙,Balinese Digit
U+1BB0,᮰,Sundanese Digit
U+1BB1,᮱,Sundanese Digit
U+1BB2,᮲,Sundanese Digit
U+1BB3,᮳,Sundanese Digit
U+1BB4,᮴,Sundanese Digit
U+1BB5,᮵,Sundanese Digit
U+1BB6,᮶,Sundanese Digit
U+1BB7,᮷,Sundanese Digit
U+1BB8,᮸,Sundanese Digit
U+1BB9,᮹,Sundanese Digit
U+1C40,᱀,Lepcha Digit
U+1C41,᱁,Lepcha Digit
U+1C42,᱂,Lepcha Digit
U+1C43,᱃,Lepcha Digit
U+1C44,᱄,Lepcha Digit
U+1C45,᱅,Lepcha Digit
U+1C46,᱆,Lepcha Digit
U+1C47,᱇,Lepcha Digit
U+1C48,᱈,Lepcha Digit
U+1C49,᱉,Lepcha Digit
U+1C50,᱐,Ol Chiki Digit
U+1C51,᱑,Ol Chiki Digit
U+1C52,᱒,Ol Chiki Digit
U+1C53,᱓,Ol Chiki Digit
U+1C54,᱔,Ol Chiki Digit
U+1C55,᱕,Ol Chiki Digit
U+1C56,᱖,Ol Chiki Digit
U+1C57,᱗,Ol Chiki Digit
U+1C58,᱘,Ol Chiki Digit
U+1C59,᱙,Ol Chiki Digit
U+2070,⁰,Superscript
U+2074,⁴,Superscript
U+2075,⁵,Superscript
U+2076,⁶,Superscript
U+2077,⁷,Superscript
U+2078,⁸,Superscript
U+2079,⁹,Superscript
U+2080,₀,Subscript
U+2081,₁,Subscript
U+2082,₂,Subscript
U+2083,₃,Subscript
U+2084,₄,Subscript
U+2085,₅,Subscript
U+2086,₆,Subscript
U+2087,₇,Subscript
U+2088,₈,Subscript
U+2089,₉,Subscript
U+2150,⅐,Other
U+2151,⅑,Other
U+2152,⅒,Other
U+2153,⅓,Other
U+2154,⅔,Other
U+2155,⅕,Other
U+2156,⅖,Other
U+2157,⅗,Other
U+2158,⅘,Other
U+2159,⅙,Other
U+215A,⅚,Other
U+215B,⅛,Other
U+215C,⅜,Other
U+215D,⅝,Other
U+215E,⅞,Other
U+215F,⅟,Other
U+2160,Ⅰ,Other
U+2161,Ⅱ,Other
U+2162,Ⅲ,Other
U+2163,Ⅳ,Other
U+2164,Ⅴ,Other
U+2165,Ⅵ,Other
U+2166,Ⅶ,Other
U+2167,Ⅷ,Other
U+2168,Ⅸ,Other
U+2169,Ⅹ,Other
U+216A,Ⅺ,Other
U+216B,Ⅻ,Other
U+216C,Ⅼ,Other
U+216D,Ⅽ,Other
U+216E,Ⅾ,Other
U+216F,Ⅿ,Other
U+2170,ⅰ,Other
U+2171,ⅱ,Other
U+2172,ⅲ,Other
U+2173,ⅳ,Other
U+2174,ⅴ,Other
U+2175,ⅵ,Other
U+2176,ⅶ,Other
U+2177,ⅷ,Other
U+2178,ⅸ,Other
U+2179,ⅹ,Other
U+217A,ⅺ,Other
U+217B,ⅻ,Other
U+217C,ⅼ,Other
U+217D,ⅽ,Other
U+217E,ⅾ,Other
U+217F,ⅿ,Other
U+2180,ↀ,Other
U+2181,ↁ,Other
U+2182,ↂ,Other
U+2185,ↅ,Other
U+2186,ↆ,Other
U+2187,ↇ,Other
U+2188,ↈ,Other
U+2189,↉,Other
U+2460,①,Other
U+2461,②,Other
U+2462,③,Other
U+2463,④,Other
U+2464,⑤,Other
U+2465,⑥,Other
U+2466,⑦,Other
U+2467,⑧,Other
U+2468,⑨,Other
U+2469,⑩,Other
U+246A,⑪,Other
U+246B,⑫,Other
U+246C,⑬,Other
U+246D,⑭,Other
U+246E,⑮,Other
U+246F,⑯,Other
U+2470,⑰,Other
U+2471,⑱,Other
U+2472,⑲,Other
U+2473,⑳,Other
U+2474,⑴,Other
U+2475,⑵,Other
U+2476,⑶,Other
U+2477,⑷,Other
U+2478,⑸,Other
U+2479,⑹,Other
U+247A,⑺,Other
U+247B,⑻,Other
U+247C,⑼,Other
U+247D,⑽,Other
U+247E,⑾,Other
U+247F,⑿,Other
U+2480,⒀,Other
U+2481,⒁,Other
U+2482,⒂,Other
U+2483,⒃,Other
U+2484,⒄,Other
U+2485,⒅,Other
U+2486,⒆,Other
U+2487,⒇,Other
U+2488,⒈,Other
U+2489,⒉,Other
U+248A,⒊,Other
U+248B,⒋,Other
U+248C,⒌,Other
U+248D,⒍,Other
U+248E,⒎,Other
U+248F,⒏,Other
U+2490,⒐,Other
U+2491,⒑,Other
U+2492,⒒,Other
U+2493,⒓,Other
U+2494,⒔,Other
U+2495,⒕,Other
U+2496,⒖,Other
U+2497,⒗,Other
U+2498,⒘,Other
U+2499,⒙,Other
U+249A,⒚,Other
U+249B,⒛,Other
U+24EA,⓪,Other
U+24EB,⓫,Negative Circled
U+24EC,⓬,Negative Circled
U+24ED,⓭,Negative Circled
U+24EE,⓮,Negative Circled
U+24EF,⓯,Negative Circled
U+24F0,⓰,Negative Circled
U+24F1,⓱,Negative Circled
U+24F2,⓲,Negative Circled
U+24F3,⓳,Negative Circled
U+24F4,⓴,Negative Circled
U+24F5,⓵,Negative Circled
U+24F6,⓶,Negative Circled
U+24F7,⓷,Negative Circled
U+24F8,⓸,Negative Circled
U+24F9,⓹,Negative Circled
U+24FA,⓺,Negative Circled
U+24FB,⓻,Negative Circled
U+24FC,⓼,Negative Circled
U+24FD,⓽,Negative Circled
U+24FE,⓾,Negative Circled
U+24FF,⓿,Negative Circled
U+2776,❶,Dingbat Circled
U+2777,❷,Dingbat Circled
U+2778,❸,Dingbat Circled
U+2779,❹,Dingbat Circled
U+277A,❺,Dingbat Circled
U+277B,❻,Dingbat Circled
U+277C,❼,Dingbat Circled
U+277D,❽,Dingbat Circled
U+277E,❾,Dingbat Circled
U+277F,❿,Dingbat Circled
U+2780,➀,Dingbat Circled
U+2781,➁,Dingbat Circled
U+2782,➂,Dingbat Circled
U+2783,➃,Dingbat Circled
U+2784,➄,Dingbat Circled
U+2785,➅,Dingbat Circled
U+2786,➆,Dingbat Circled
U+2787,➇,Dingbat Circled
U+2788,➈,Dingbat Circled
U+2789,➉,Dingbat Circled
U+278A,➊,Dingbat Circled
U+278B,➋,Dingbat Circled
U+278C,➌,Dingbat Circled
U+278D,➍,Dingbat Circled
U+278E,➎,Dingbat Circled
U+278F,➏,Dingbat Circled
U+2790,➐,Dingbat Circled
U+2791,➑,Dingbat Circled
U+2792,➒,Dingbat Circled
U+2793,➓,Dingbat Circled
U+2CFD,⳽,Coptic Fraction
U+3007,〇,Ideographic Zero
U+3021,〡,Hangzhou
U+3022,〢,Hangzhou
U+3023,〣,Hangzhou
U+3024,〤,Hangzhou
U+3025,〥,Hangzhou
U+3026,〦,Hangzhou
U+3027,〧,Hangzhou
U+3028,〨,Hangzhou
U+3029,〩,Hangzhou
U+3038,〸,Hangzhou
U+3039,〹,Hangzhou
U+303A,〺,Hangzhou
U+3192,㆒,Ideographic Tally
U+3193,㆓,Ideographic Tally
U+3194,㆔,Ideographic Tally
U+3195,㆕,Ideographic Tally
U+3220,㈠,Parenthesized
U+3221,㈡,Parenthesized
U+3222,㈢,Parenthesized
U+3223,㈣,Parenthesized
U+3224,㈤,Parenthesized
U+3225,㈥,Parenthesized
U+3226,㈦,Parenthesized
U+3227,㈧,Parenthesized
U+3228,㈨,Parenthesized
U+3229,㈩,Parenthesized
U+3248,㉈,Other
U+3249,㉉,Other
U+324A,㉊,Other
U+324B,㉋,Other
U+324C,㉌,Other
U+324D,㉍,Other
U+324E,㉎,Other
U+324F,㉏,Other
U+3251,㉑,Circled >= 21
U+3252,㉒,Circled >= 21
U+3253,㉓,Circled >= 21
U+3254,㉔,Circled >= 21
U+3255,㉕,Circled >= 21
U+3256,㉖,Circled >= 21
U+3257,㉗,Circled >= 21
U+3258,㉘,Circled >= 21
U+3259,㉙,Circled >= 21
U+325A,㉚,Circled >= 21
U+325B,㉛,Circled >= 21
U+325C,㉜,Circled >= 21
U+325D,㉝,Circled >= 21
U+325E,㉞,Circled >= 21
U+325F,㉟,Circled >= 21
U+3280,㊀,Circled
U+3281,㊁,Circled
U+3282,㊂,Circled
U+3283,㊃,Circled
U+3284,㊄,Circled
U+3285,㊅,Circled
U+3286,㊆,Circled
U+3287,㊇,Circled
U+3288,㊈,Circled
U+3289,㊉,Circled
U+32B1,㊱,Circled >= 21
U+32B2,㊲,Circled >= 21
U+32B3,㊳,Circled >= 21
U+32B4,㊴,Circled >= 21
U+32B5,㊵,Circled >= 21
U+32B6,㊶,Circled >= 21
U+32B7,㊷,Circled >= 21
U+32B8,㊸,Circled >= 21
U+32B9,㊹,Circled >= 21
U+32BA,㊺,Circled >= 21
U+32BB,㊻,Circled >= 21
U+32BC,㊼,Circled >= 21
U+32BD,㊽,Circled >= 21
U+32BE,㊾,Circled >= 21
U+32BF,㊿,Circled >= 21
U+A620,꘠,Vai Digit
U+A621,꘡,Vai Digit
U+A622,꘢,Vai Digit
U+A623,꘣,Vai Digit
U+A624,꘤,Vai Digit
U+A625,꘥,Vai Digit
U+A626,꘦,Vai Digit
U+A627,꘧,Vai Digit
U+A628,꘨,Vai Digit
U+A629,꘩,Vai Digit
U+A6E6,ꛦ,Bamum
U+A6E7,ꛧ,Bamum
U+A6E8,ꛨ,Bamum
U+A6E9,ꛩ,Bamum
U+A6EA,ꛪ,Bamum
U+A6EB,ꛫ,Bamum
U+A6EC,ꛬ,Bamum
U+A6ED,ꛭ,Bamum
U+A6EE,ꛮ,Bamum
U+A6EF,ꛯ,Bamum
